,PostalCode,name,categories,lat,lng
50,M5A,Savoury Grounds,Coffee Shop,43.656820970004496,-79.3589698353747
51,M5A,Thompson Landry Gallery,Art Gallery,43.65012451658737,-79.35967548396943
52,M5A,Dollarama,Discount Store,43.651227,-79.36517
53,M5A,The Beer Store Boutique,Beer Store,43.6504487,-79.3605762
54,M5A,Stirling Room,Lounge,43.65064375839843,-79.35982874147508
55,M5A,Powerhouse Casting,Performing Arts Venue,43.65364268476033,-79.36442220770135
56,M5A,Mengrai Gourmet Thai,Thai Restaurant,43.654102,-79.3668
57,M5A,Blackbird Vintage Finds,Thrift / Vintage Store,43.650054081587044,-79.35942033230798
58,M5A,Shoppers Drug Mart,Pharmacy,43.65552843849356,-79.36425191607668
59,M5A,Sackville Playground,Park,43.65465604258614,-79.35987064632435
60,M5A,TTC Streetcar #503 Kingston Rd,Moving Target,43.6547847634771,-79.36151313866426
61,M5A,Oriental Taste,Chinese Restaurant,43.655304,-79.365312
62,M5A,Bathroom Renovation Experts,Home Service,43.6545029411765,-79.3563817647059
63,M5A,Gotstyle Distillery,Clothing Store,43.65035445384419,-79.35946126415882
64,M5A,Staples Front Street,Paper / Office Supplies Store,43.651767517726334,-79.36356608465582
65,M5A,Banknote Bar Corktown,Pub,43.65265478121302,-79.36607147351332
66,M5A,Thrifty Car Rental,Rental Car Location,43.656244,-79.364569
67,M5A,Wine Rack,Wine Shop,43.656573,-79.356928
68,M5A,FUEL+,Coffee Shop,43.653193,-79.355867
69,M5A,Pumpernickel’s,Deli / Bodega,43.651903,-79.364613
70,M5A,GW General,Antique Shop,43.650495,-79.357538
0,M6A,Roots,Boutique,43.71821373389962,-79.46389305304558
1,M6A,Kitchen Stuff Plus (Clearance Outlet),Furniture / Home Store,43.71909636823933,-79.46267482419971
2,M6A,Lac Vien Vietnamese Restaurant,Vietnamese Restaurant,43.72125878799614,-79.46847226859448
3,M6A,Orfus Road Shopping Outlets,Clothing Store,43.719045296434736,-79.46084915034818
4,M6A,Tim Hortons,Coffee Shop,43.7194274,-79.4679949
5,M6A,Ardene Shoes Outlet,Accessories Store,43.718892366644944,-79.46134358371631
6,M6A,Rinx Real Entertainment Centre,Event Space,43.71784220022086,-79.46223069665501
7,M6A,Bluenotes,Clothing Store,43.718846,-79.465906
8,M6A,Premi-Air ClimateCare,Home Service,43.71998569323738,-79.46595668792725
9,M6A,Ardene,Accessories Store,43.71894162758098,-79.46388005195001
10,M6A,International Clothiers,Clothing Store,43.717997,-79.46672
11,M6A,Stitches,Clothing Store,43.718804,-79.464125
12,M6A,Sirens,Clothing Store,43.718744,-79.463914
13,M6A,Dopest Era,IT Services,43.7179177,-79.4633034
14,M6A,Bluenotes,Clothing Store,43.718053735782526,-79.46320043192486
15,M6A,Suzy Shier,Clothing Store,43.718846,-79.465906
16,M6A,Bowring Outlet,Furniture / Home Store,43.718495530959125,-79.46449690722636
17,M6A,Kitchen Stuff Plus,Furniture / Home Store,43.71908675341768,-79.46296954870189
18,M6A,Urban Kids,Clothing Store,43.718549,-79.466697
